index,total,onset,offset,precision,recall,f1,der,work_dir
7980,9801,0.81,0.6,0.7069641091697767,0.4758316234738848,0.5688148350893127,0.7214000914905528,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p60
5784,9801,0.59,0.42,0.6052816821336009,0.5364717544221288,0.5688032381375548,0.8133740029150294,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p59_offset_0p42
4714,9801,0.48,0.61,0.5837676809435035,0.5545747284668008,0.5687968760026185,0.8408427172999563,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p61
7293,9801,0.74,0.66,0.6982185764656409,0.47982736600796205,0.5687798215065698,0.7275618247775548,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p66
8067,9801,0.82,0.48,0.6866717469235446,0.4854321071671617,0.5687764132468358,0.7360705173508157,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p48
4721,9801,0.48,0.68,0.5846806206524203,0.5537003411548069,0.5687689270697254,0.8396126470135916,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p68
4892,9801,0.5,0.41,0.5791881203330976,0.5586747750331122,0.5687465408120267,0.8472330361784864,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p50_offset_0p41
7599,9801,0.77,0.75,0.7255382819955617,0.4675915160066453,0.5686817071658353,0.7092922873600098,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p77_offset_0p75
5188,9801,0.53,0.4,0.5849617976119592,0.5532514099606559,0.5686648813224028,0.8392878491774957,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p53_offset_0p40
7795,9801,0.79,0.73,0.7264494515370785,0.4671828807294655,0.5686587708779428,0.70873869645065,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p79_offset_0p73
7693,9801,0.78,0.7,0.7161007235531743,0.47155947080834987,0.568654367381147,0.7153910351203,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p78_offset_0p70
7694,9801,0.78,0.71,0.717436084114997,0.4709821677006988,0.568654346341333,0.7145152843569044,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p78_offset_0p71
7302,9801,0.74,0.75,0.7166548246800072,0.4713136494126882,0.568650108408161,0.7150305207855279,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p75
7979,9801,0.81,0.59,0.7047938391741733,0.476580039732456,0.5686441555448765,0.7230377151850501,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p59
8071,9801,0.82,0.52,0.6956314023540506,0.48085871325252083,0.5686412772988826,0.7295376140599347,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p52
5883,9801,0.6,0.42,0.6058660610276309,0.535701211718527,0.5686273437935246,0.8127884005379764,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p60_offset_0p42
7597,9801,0.77,0.73,0.7222041519727003,0.46891057372715994,0.5686256007802719,0.7114558920729811,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p77_offset_0p73
4720,9801,0.48,0.67,0.5843742609566113,0.5537003411548069,0.5686239321279333,0.840109121165317,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p67
8069,9801,0.82,0.5,0.6923236807963075,0.48240959476164336,0.5686117746825674,0.7319785773922951,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p50
4722,9801,0.48,0.69,0.584752838728876,0.5533224279945385,0.5686036239653984,0.8396052369516255,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p69
4990,9801,0.51,0.4,0.582651160258803,0.5551935427415858,0.5685910581533371,0.8424876028551799,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p51_offset_0p40
7201,9801,0.73,0.73,0.7131375078243763,0.47276294638231814,0.5685890214121354,0.7174078909660956,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p73_offset_0p73
7896,9801,0.8,0.75,0.7310079301310041,0.4651689073977746,0.5685483107341424,0.7060012565390278,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p80_offset_0p75
4723,9801,0.48,0.7,0.5847754104524376,0.5531964569411156,0.5685477724673808,0.8396052369516254,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p70
7500,9801,0.76,0.75,0.723393534946544,0.4682944715350546,0.568540073101588,0.7107688904079846,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p76_offset_0p75
8075,9801,0.82,0.56,0.7020131984449357,0.47769090435197237,0.5685244610697322,0.7250767715764961,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p56
7393,9801,0.75,0.67,0.7003333550262483,0.4784523919598515,0.5685107234088869,0.7262732891022783,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p67
7304,9801,0.74,0.77,0.7168903876301217,0.47101703204224915,0.5685082475102098,0.7149939002592915,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p77
7498,9801,0.76,0.73,0.7206116552343896,0.46941445794085135,0.5685010199064402,0.7125822214918207,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p76_offset_0p73
7301,9801,0.74,0.74,0.7158864984078045,0.47143962046611104,0.568499679643665,0.7156603760526421,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p74
7392,9801,0.75,0.66,0.6991460697249293,0.47895198574766457,0.5684711843244695,0.7271488472040629,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p75_offset_0p66
7303,9801,0.74,0.76,0.71675748725813,0.4710200034770975,0.5684686176896366,0.7151139284430177,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p76
7307,9801,0.74,0.8,0.7180934962108361,0.47043998087670497,0.5684650826208573,0.714243616665105,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p80
8074,9801,0.82,0.55,0.6999222849587636,0.47857091590099854,0.5684588570012377,0.7266068159913701,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p55
7300,9801,0.74,0.73,0.7148275478815367,0.4718175336263796,0.5684398408007212,0.7164087923112132,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p73
7981,9801,0.81,0.61,0.7068769642739072,0.4753277392601934,0.5684264803870035,0.7217780046508215,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p81_offset_0p61
7797,9801,0.79,0.75,0.729687718523853,0.4654859098486822,0.5683849501013474,0.7069530048979472,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p79_offset_0p75
5486,9801,0.56,0.41,0.5916039853155711,0.5469168888487298,0.5683834498279191,0.8306307330630547,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p56_offset_0p41
7203,9801,0.73,0.75,0.713807082600464,0.4721330911152039,0.56834560770834,0.7171633589212161,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p73_offset_0p75
8070,9801,0.82,0.51,0.6933101995092285,0.48153520744964945,0.5683356614753651,0.7314746931786036,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p51
4734,9801,0.48,0.81,0.5854204518673308,0.5522016042517395,0.5683260287440893,0.8388532194029391,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p81
8172,9801,0.83,0.54,0.6990551149580739,0.4787653559269877,0.5683096519353056,0.7273442653582314,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p83_offset_0p54
7202,9801,0.73,0.74,0.7131094679851449,0.47238503322204967,0.5683067097858192,0.7176598330729413,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p73_offset_0p74
4725,9801,0.48,0.72,0.5851414868481989,0.5523850699759569,0.5682916486114938,0.8392495243370074,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p72
4735,9801,0.48,0.82,0.5854099955215791,0.5521179965225766,0.5682768180338871,0.8388944638078423,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p82
7308,9801,0.74,0.81,0.717980108171717,0.4701954488318253,0.5682510084039989,0.7144955587719507,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p74_offset_0p81
7895,9801,0.8,0.74,0.7283169022242816,0.46585810985117504,0.5682455787668549,0.7079203292071194,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p80_offset_0p74
4733,9801,0.48,0.8,0.5853696769225937,0.5520756331983167,0.5682353818097543,0.838971780394396,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p80
4732,9801,0.48,0.79,0.5853650777438189,0.5520756331983167,0.5682332148634354,0.8389791904563622,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p48_offset_0p79
8068,9801,0.82,0.49,0.6886629034470387,0.4836503281271769,0.5682304528354013,0.7350027867020035,/Users/gmmrr/Documents/GitHub/osd/onset_offset/onset_0p82_offset_0p49
